"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
301,10,0.222222222222222,5000,1,"copc",6,5,4,0.6,0.9375,3,0.011786937713623
301,10,0.222222222222222,5000,1,"latent_pc",7,6,3,0.7,0.925,6,0.0218970775604248
301,10,0.222222222222222,5000,1,"tau_score",8,7,2,0.8,0.9125,6,0.00938081741333008
301,10,0.222222222222222,5000,1,"copula_score",6,7,4,0.6,0.9125,8,0.0143110752105713
301,10,0.222222222222222,5000,1,"sem_score",9,6,1,0.9,0.925,5,0.335347890853882
301,10,0.222222222222222,5000,1,"mmhc_sem_01",8,5,2,0.8,0.9375,4,0.172958850860596
301,10,0.222222222222222,5000,1,"mmhc_sem_05",8,5,2,0.8,0.9375,4,0.16787600517273
301,10,0.222222222222222,5000,1,"mmhc_sem_01_raw",10,2,0,1,0.975,2,0.184155941009521
301,10,0.222222222222222,5000,1,"mmhc_sem_05_raw",10,2,0,1,0.975,2,0.192156076431274
301,10,0.222222222222222,5000,1,"mmhc_gauss_01",8,5,2,0.8,0.9375,4,0.0265178680419922
301,10,0.222222222222222,5000,1,"mmhc_gauss_05",8,5,2,0.8,0.9375,4,0.0389890670776367
302,10,0.222222222222222,5000,2,"copc",3,12,8,0.272727272727273,0.848101265822785,8,0.0467159748077393
302,10,0.222222222222222,5000,2,"latent_pc",5,8,6,0.454545454545455,0.89873417721519,2,0.0328860282897949
302,10,0.222222222222222,5000,2,"tau_score",6,12,5,0.545454545454545,0.848101265822785,12,0.0102379322052002
302,10,0.222222222222222,5000,2,"copula_score",5,11,6,0.454545454545455,0.860759493670886,8,0.0144810676574707
302,10,0.222222222222222,5000,2,"sem_score",9,7,2,0.818181818181818,0.911392405063291,7,0.353548049926758
302,10,0.222222222222222,5000,2,"mmhc_sem_01",6,7,5,0.545454545454545,0.911392405063291,7,0.1719651222229
302,10,0.222222222222222,5000,2,"mmhc_sem_05",6,8,5,0.545454545454545,0.89873417721519,8,0.191081047058105
302,10,0.222222222222222,5000,2,"mmhc_sem_01_raw",9,2,2,0.818181818181818,0.974683544303797,0,0.157910823822021
302,10,0.222222222222222,5000,2,"mmhc_sem_05_raw",9,2,2,0.818181818181818,0.974683544303797,0,0.181495904922485
302,10,0.222222222222222,5000,2,"mmhc_gauss_01",7,6,4,0.636363636363636,0.924050632911392,6,0.0308749675750732
302,10,0.222222222222222,5000,2,"mmhc_gauss_05",7,7,4,0.636363636363636,0.911392405063291,7,0.0493898391723633
303,10,0.222222222222222,5000,3,"copc",2,11,7,0.222222222222222,0.864197530864197,10,0.0233571529388428
303,10,0.222222222222222,5000,3,"latent_pc",7,4,2,0.777777777777778,0.950617283950617,2,0.0150160789489746
303,10,0.222222222222222,5000,3,"tau_score",7,6,2,0.777777777777778,0.925925925925926,4,0.00831699371337891
303,10,0.222222222222222,5000,3,"copula_score",3,11,6,0.333333333333333,0.864197530864197,11,0.0188779830932617
303,10,0.222222222222222,5000,3,"sem_score",6,8,3,0.666666666666667,0.901234567901235,6,0.33779501914978
303,10,0.222222222222222,5000,3,"mmhc_sem_01",6,5,3,0.666666666666667,0.938271604938272,3,0.149338006973267
303,10,0.222222222222222,5000,3,"mmhc_sem_05",6,6,3,0.666666666666667,0.925925925925926,4,0.150446891784668
303,10,0.222222222222222,5000,3,"mmhc_sem_01_raw",7,2,2,0.777777777777778,0.975308641975309,0,0.136409044265747
303,10,0.222222222222222,5000,3,"mmhc_sem_05_raw",7,2,2,0.777777777777778,0.975308641975309,0,0.14828896522522
