"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
201,10,0.222222222222222,2500,1,"copc",3,6,7,0.3,0.925,2,0.0113770961761475
201,10,0.222222222222222,2500,1,"latent_pc",3,8,7,0.3,0.9,7,0.0146570205688477
201,10,0.222222222222222,2500,1,"tau_score",5,9,5,0.5,0.8875,9,0.0089268684387207
201,10,0.222222222222222,2500,1,"copula_score",6,5,4,0.6,0.9375,4,0.00905299186706543
201,10,0.222222222222222,2500,1,"sem_score",8,4,2,0.8,0.95,2,0.238745927810669
201,10,0.222222222222222,2500,1,"mmhc_sem_01",4,7,6,0.4,0.9125,7,0.0904757976531982
201,10,0.222222222222222,2500,1,"mmhc_sem_05",5,7,5,0.5,0.9125,7,0.107544898986816
201,10,0.222222222222222,2500,1,"mmhc_sem_01_raw",7,3,3,0.7,0.9625,3,0.0828368663787842
201,10,0.222222222222222,2500,1,"mmhc_sem_05_raw",7,3,3,0.7,0.9625,3,0.0907509326934814
201,10,0.222222222222222,2500,1,"mmhc_gauss_01",6,5,4,0.6,0.9375,4,0.0187029838562012
201,10,0.222222222222222,2500,1,"mmhc_gauss_05",7,5,3,0.7,0.9375,4,0.0240330696105957
202,10,0.222222222222222,2500,2,"copc",2,9,10,0.166666666666667,0.884615384615385,6,0.0218889713287354
202,10,0.222222222222222,2500,2,"latent_pc",6,6,6,0.5,0.923076923076923,6,0.0264589786529541
202,10,0.222222222222222,2500,2,"tau_score",8,13,4,0.666666666666667,0.833333333333333,18,0.0130541324615479
202,10,0.222222222222222,2500,2,"copula_score",6,7,6,0.5,0.91025641025641,9,0.0100021362304688
202,10,0.222222222222222,2500,2,"sem_score",9,5,3,0.75,0.935897435897436,4,0.208541870117188
202,10,0.222222222222222,2500,2,"mmhc_sem_01",5,7,7,0.416666666666667,0.91025641025641,11,0.0971519947052002
202,10,0.222222222222222,2500,2,"mmhc_sem_05",5,7,7,0.416666666666667,0.91025641025641,11,0.0975620746612549
202,10,0.222222222222222,2500,2,"mmhc_sem_01_raw",7,3,5,0.583333333333333,0.961538461538462,5,0.0957090854644775
202,10,0.222222222222222,2500,2,"mmhc_sem_05_raw",7,3,5,0.583333333333333,0.961538461538462,5,0.0960569381713867
202,10,0.222222222222222,2500,2,"mmhc_gauss_01",9,3,3,0.75,0.961538461538462,2,0.0243520736694336
202,10,0.222222222222222,2500,2,"mmhc_gauss_05",9,3,3,0.75,0.961538461538462,2,0.0256209373474121
203,10,0.222222222222222,2500,3,"copc",2,5,5,0.285714285714286,0.939759036144578,2,0.00471901893615723
203,10,0.222222222222222,2500,3,"latent_pc",4,3,3,0.571428571428571,0.963855421686747,0,0.00441098213195801
203,10,0.222222222222222,2500,3,"tau_score",4,3,3,0.571428571428571,0.963855421686747,0,0.00661993026733398
203,10,0.222222222222222,2500,3,"copula_score",3,4,4,0.428571428571429,0.951807228915663,4,0.00713706016540527
203,10,0.222222222222222,2500,3,"sem_score",4,3,3,0.571428571428571,0.963855421686747,0,0.161591053009033
203,10,0.222222222222222,2500,3,"mmhc_sem_01",4,3,3,0.571428571428571,0.963855421686747,0,0.0529639720916748
203,10,0.222222222222222,2500,3,"mmhc_sem_05",4,4,3,0.571428571428571,0.951807228915663,1,0.0585250854492188
203,10,0.222222222222222,2500,3,"mmhc_sem_01_raw",4,3,3,0.571428571428571,0.963855421686747,0,0.0513350963592529
203,10,0.222222222222222,2500,3,"mmhc_sem_05_raw",4,3,3,0.571428571428571,0.963855421686747,0,0.0585751533508301
203,10,0.222222222222222,2500,3,"mmhc_gauss_01",4,3,3,0.571428571428571,0.963855421686747,0,0.00705599784851074
203,10,0.222222222222222,2500,3,"mmhc_gauss_05",4,3,3,0.571428571428571,0.963855421686747,0,0.00732207298278809
204,10,0.222222222222222,2500,4,"copc",4,9,8,0.333333333333333,0.884615384615385,7,0.0251541137695312
204,10,0.222222222222222,2500,4,"latent_pc",5,10,7,0.416666666666667,0.871794871794872,12,0.0592100620269775
204,10,0.222222222222222,2500,4,"tau_score",8,19,4,0.666666666666667,0.756410256410256,21,0.0216240882873535
204,10,0.222222222222222,2500,4,"copula_score",8,6,4,0.666666666666667,0.923076923076923,7,0.00871706008911133
204,10,0.222222222222222,2500,4,"sem_score",8,10,4,0.666666666666667,0.871794871794872,9,0.220442056655884
204,10,0.222222222222222,2500,4,"mmhc_sem_01",9,5,3,0.75,0.935897435897436,8,0.180898189544678
204,10,0.222222222222222,2500,4,"mmhc_sem_05",9,5,3,0.75,0.935897435897436,8,0.187747955322266
204,10,0.222222222222222,2500,4,"mmhc_sem_01_raw",8,4,4,0.666666666666667,0.948717948717949,6,0.188372135162354
204,10,0.222222222222222,2500,4,"mmhc_sem_05_raw",8,4,4,0.666666666666667,0.948717948717949,6,0.188175201416016
204,10,0.222222222222222,2500,4,"mmhc_gauss_01",8,7,4,0.666666666666667,0.91025641025641,9,0.0654540061950684
204,10,0.222222222222222,2500,4,"mmhc_gauss_05",8,7,4,0.666666666666667,0.91025641025641,9,0.068047046661377
205,10,0.222222222222222,2500,5,"copc",4,5,6,0.4,0.9375,4,0.0128622055053711
205,10,0.222222222222222,2500,5,"latent_pc",7,4,3,0.7,0.95,4,0.0156512260437012
205,10,0.222222222222222,2500,5,"tau_score",7,10,3,0.7,0.875,14,0.00978302955627441
205,10,0.222222222222222,2500,5,"copula_score",5,6,5,0.5,0.925,9,0.01007080078125
205,10,0.222222222222222,2500,5,"sem_score",7,5,3,0.7,0.9375,9,0.210290908813477
205,10,0.222222222222222,2500,5,"mmhc_sem_01",4,7,6,0.4,0.9125,7,0.104007005691528
205,10,0.222222222222222,2500,5,"mmhc_sem_05",4,7,6,0.4,0.9125,7,0.109456062316895
205,10,0.222222222222222,2500,5,"mmhc_sem_01_raw",7,4,3,0.7,0.95,3,0.120458841323853
205,10,0.222222222222222,2500,5,"mmhc_sem_05_raw",7,4,3,0.7,0.95,3,0.115139007568359
205,10,0.222222222222222,2500,5,"mmhc_gauss_01",9,2,1,0.9,0.975,1,0.0207180976867676
205,10,0.222222222222222,2500,5,"mmhc_gauss_05",9,2,1,0.9,0.975,1,0.0275259017944336
206,10,0.222222222222222,2500,6,"copc",8,4,2,0.8,0.95,4,0.0360651016235352
206,10,0.222222222222222,2500,6,"latent_pc",3,7,7,0.3,0.9125,8,0.0209419727325439
206,10,0.222222222222222,2500,6,"tau_score",6,6,4,0.6,0.925,9,0.00964498519897461
206,10,0.222222222222222,2500,6,"copula_score",5,7,5,0.5,0.9125,9,0.00845909118652344
206,10,0.222222222222222,2500,6,"sem_score",7,5,3,0.7,0.9375,9,0.194797992706299
206,10,0.222222222222222,2500,6,"mmhc_sem_01",5,5,5,0.5,0.9375,6,0.093332052230835
206,10,0.222222222222222,2500,6,"mmhc_sem_05",6,6,4,0.6,0.925,7,0.133226156234741
206,10,0.222222222222222,2500,6,"mmhc_sem_01_raw",6,4,4,0.6,0.95,8,0.0926401615142822
206,10,0.222222222222222,2500,6,"mmhc_sem_05_raw",6,4,4,0.6,0.95,8,0.114600896835327
206,10,0.222222222222222,2500,6,"mmhc_gauss_01",5,5,5,0.5,0.9375,8,0.0207529067993164
206,10,0.222222222222222,2500,6,"mmhc_gauss_05",5,6,5,0.5,0.925,8,0.0361278057098389
207,10,0.222222222222222,2500,7,"copc",2,10,10,0.166666666666667,0.871794871794872,10,0.0196359157562256
207,10,0.222222222222222,2500,7,"latent_pc",4,7,8,0.333333333333333,0.91025641025641,8,0.0145571231842041
207,10,0.222222222222222,2500,7,"tau_score",9,4,3,0.75,0.948717948717949,8,0.00816082954406738
207,10,0.222222222222222,2500,7,"copula_score",10,2,2,0.833333333333333,0.974358974358974,2,0.00844883918762207
207,10,0.222222222222222,2500,7,"sem_score",9,4,3,0.75,0.948717948717949,5,0.282686948776245
207,10,0.222222222222222,2500,7,"mmhc_sem_01",6,5,6,0.5,0.935897435897436,10,0.0855710506439209
207,10,0.222222222222222,2500,7,"mmhc_sem_05",6,7,6,0.5,0.91025641025641,12,0.0988428592681885
207,10,0.222222222222222,2500,7,"mmhc_sem_01_raw",8,3,4,0.666666666666667,0.961538461538462,6,0.0949971675872803
207,10,0.222222222222222,2500,7,"mmhc_sem_05_raw",8,3,4,0.666666666666667,0.961538461538462,6,0.110240936279297
207,10,0.222222222222222,2500,7,"mmhc_gauss_01",7,4,5,0.583333333333333,0.948717948717949,8,0.0186870098114014
207,10,0.222222222222222,2500,7,"mmhc_gauss_05",6,6,6,0.5,0.923076923076923,9,0.0346760749816895
208,10,0.222222222222222,2500,8,"copc",2,5,5,0.285714285714286,0.939759036144578,0,0.0130331516265869
208,10,0.222222222222222,2500,8,"latent_pc",1,7,6,0.142857142857143,0.91566265060241,3,0.00841808319091797
208,10,0.222222222222222,2500,8,"tau_score",5,5,2,0.714285714285714,0.939759036144578,4,0.0099480152130127
