"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
901,30,0.0689655172413793,1000,1,"copc",8,19,24,0.25,0.977326968973747,22,0.0467081069946289
901,30,0.0689655172413793,1000,1,"latent_pc",10,38,22,0.3125,0.954653937947494,42,1.19617605209351
901,30,0.0689655172413793,1000,1,"tau_score",14,164,18,0.4375,0.804295942720764,167,0.209150075912476
901,30,0.0689655172413793,1000,1,"copula_score",18,18,14,0.5625,0.978520286396181,25,0.0755069255828857
901,30,0.0689655172413793,1000,1,"sem_score",24,12,8,0.75,0.985680190930788,15,0.996667861938477
901,30,0.0689655172413793,1000,1,"mmhc_sem_01",19,28,13,0.59375,0.966587112171838,36,1.43067312240601
901,30,0.0689655172413793,1000,1,"mmhc_sem_05",19,36,13,0.59375,0.957040572792363,43,4.83867788314819
901,30,0.0689655172413793,1000,1,"mmhc_sem_01_raw",21,6,11,0.65625,0.992840095465394,10,1.40426206588745
901,30,0.0689655172413793,1000,1,"mmhc_sem_05_raw",22,7,10,0.6875,0.991646778042959,9,4.75458383560181
901,30,0.0689655172413793,1000,1,"mmhc_gauss_01",22,26,10,0.6875,0.968973747016706,34,1.21942186355591
901,30,0.0689655172413793,1000,1,"mmhc_gauss_05",18,40,14,0.5625,0.952267303102625,42,4.83375000953674
902,30,0.0689655172413793,1000,2,"copc",15,19,19,0.441176470588235,0.977272727272727,12,0.0765697956085205
902,30,0.0689655172413793,1000,2,"latent_pc",16,32,18,0.470588235294118,0.961722488038278,34,1.86215090751648
902,30,0.0689655172413793,1000,2,"tau_score",22,138,12,0.647058823529412,0.834928229665072,139,0.194355964660645
902,30,0.0689655172413793,1000,2,"copula_score",12,35,22,0.352941176470588,0.958133971291866,41,0.0702929496765137
902,30,0.0689655172413793,1000,2,"sem_score",23,26,11,0.676470588235294,0.9688995215311,27,1.03501009941101
902,30,0.0689655172413793,1000,2,"mmhc_sem_01",20,26,14,0.588235294117647,0.9688995215311,34,1.93483901023865
902,30,0.0689655172413793,1000,2,"mmhc_sem_05",23,29,11,0.676470588235294,0.965311004784689,38,2.52228093147278
902,30,0.0689655172413793,1000,2,"mmhc_sem_01_raw",25,9,9,0.735294117647059,0.989234449760766,11,1.88214707374573
902,30,0.0689655172413793,1000,2,"mmhc_sem_05_raw",26,10,8,0.764705882352941,0.988038277511962,14,2.49382996559143
902,30,0.0689655172413793,1000,2,"mmhc_gauss_01",24,24,10,0.705882352941177,0.971291866028708,31,1.74559092521667
902,30,0.0689655172413793,1000,2,"mmhc_gauss_05",23,30,11,0.676470588235294,0.964114832535885,36,2.2593948841095
903,30,0.0689655172413793,1000,3,"copc",10,22,21,0.32258064516129,0.973778307508939,24,0.159852981567383
903,30,0.0689655172413793,1000,3,"latent_pc",15,39,16,0.483870967741935,0.953516090584029,43,4.11539793014526
903,30,0.0689655172413793,1000,3,"tau_score",20,198,11,0.645161290322581,0.764004767580453,205,0.244326829910278
903,30,0.0689655172413793,1000,3,"copula_score",16,26,15,0.516129032258065,0.969010727056019,34,0.0611941814422607
903,30,0.0689655172413793,1000,3,"sem_score",23,22,8,0.741935483870968,0.973778307508939,25,1.05477690696716
903,30,0.0689655172413793,1000,3,"mmhc_sem_01",18,34,13,0.580645161290323,0.959475566150179,44,4.43645000457764
903,30,0.0689655172413793,1000,3,"mmhc_sem_05",19,38,12,0.612903225806452,0.954707985697259,46,8.69029092788696
