"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
501,10,0.555555555555556,1000,1,"copc",3,11,21,0.125,0.833333333333333,22,0.0305569171905518
501,10,0.555555555555556,1000,1,"latent_pc",1,12,23,0.0416666666666667,0.818181818181818,24,0.0324831008911133
501,10,0.555555555555556,1000,1,"tau_score",5,28,19,0.208333333333333,0.575757575757576,34,0.0230989456176758
501,10,0.555555555555556,1000,1,"copula_score",9,10,15,0.375,0.848484848484849,19,0.0126791000366211
501,10,0.555555555555556,1000,1,"sem_score",10,8,14,0.416666666666667,0.878787878787879,17,0.237154960632324
501,10,0.555555555555556,1000,1,"mmhc_sem_01",3,10,21,0.125,0.848484848484849,23,0.092872142791748
501,10,0.555555555555556,1000,1,"mmhc_sem_05",6,9,18,0.25,0.863636363636364,21,0.112109899520874
501,10,0.555555555555556,1000,1,"mmhc_sem_01_raw",5,7,19,0.208333333333333,0.893939393939394,23,0.101356029510498
501,10,0.555555555555556,1000,1,"mmhc_sem_05_raw",6,8,18,0.25,0.878787878787879,21,0.0977439880371094
501,10,0.555555555555556,1000,1,"mmhc_gauss_01",4,9,20,0.166666666666667,0.863636363636364,22,0.0435459613800049
501,10,0.555555555555556,1000,1,"mmhc_gauss_05",5,9,19,0.208333333333333,0.863636363636364,21,0.0520892143249512
502,10,0.555555555555556,1000,2,"copc",3,11,20,0.130434782608696,0.835820895522388,22,0.0460608005523682
502,10,0.555555555555556,1000,2,"latent_pc",3,12,20,0.130434782608696,0.82089552238806,19,0.0394458770751953
502,10,0.555555555555556,1000,2,"tau_score",8,21,15,0.347826086956522,0.686567164179104,27,0.0241310596466064
502,10,0.555555555555556,1000,2,"copula_score",7,13,16,0.304347826086957,0.805970149253731,19,0.0096738338470459
502,10,0.555555555555556,1000,2,"sem_score",12,9,11,0.521739130434783,0.865671641791045,17,0.24263596534729
502,10,0.555555555555556,1000,2,"mmhc_sem_01",8,6,15,0.347826086956522,0.91044776119403,17,0.100851058959961
502,10,0.555555555555556,1000,2,"mmhc_sem_05",10,6,13,0.434782608695652,0.91044776119403,15,0.133582830429077
502,10,0.555555555555556,1000,2,"mmhc_sem_01_raw",9,5,14,0.391304347826087,0.925373134328358,16,0.110939025878906
502,10,0.555555555555556,1000,2,"mmhc_sem_05_raw",11,4,12,0.478260869565217,0.940298507462687,15,0.138629198074341
502,10,0.555555555555556,1000,2,"mmhc_gauss_01",6,9,17,0.260869565217391,0.865671641791045,20,0.0500199794769287
502,10,0.555555555555556,1000,2,"mmhc_gauss_05",10,7,13,0.434782608695652,0.895522388059702,15,0.0680971145629883
503,10,0.555555555555556,1000,3,"copc",2,9,19,0.0952380952380952,0.869565217391304,20,0.020158052444458
503,10,0.555555555555556,1000,3,"latent_pc",2,14,19,0.0952380952380952,0.797101449275362,21,0.0724058151245117
503,10,0.555555555555556,1000,3,"tau_score",12,20,9,0.571428571428571,0.710144927536232,23,0.0142030715942383
503,10,0.555555555555556,1000,3,"copula_score",15,5,6,0.714285714285714,0.927536231884058,7,0.0128509998321533
503,10,0.555555555555556,1000,3,"sem_score",15,5,6,0.714285714285714,0.927536231884058,12,0.198474168777466
503,10,0.555555555555556,1000,3,"mmhc_sem_01",5,11,16,0.238095238095238,0.840579710144927,19,0.145226955413818
503,10,0.555555555555556,1000,3,"mmhc_sem_05",7,10,14,0.333333333333333,0.855072463768116,21,0.170951843261719
503,10,0.555555555555556,1000,3,"mmhc_sem_01_raw",6,9,15,0.285714285714286,0.869565217391304,21,0.137879133224487
503,10,0.555555555555556,1000,3,"mmhc_sem_05_raw",6,9,15,0.285714285714286,0.869565217391304,21,0.149367094039917
503,10,0.555555555555556,1000,3,"mmhc_gauss_01",8,8,13,0.380952380952381,0.884057971014493,18,0.0756747722625732
503,10,0.555555555555556,1000,3,"mmhc_gauss_05",8,9,13,0.380952380952381,0.869565217391304,19,0.0902390480041504
504,10,0.555555555555556,1000,4,"copc",4,12,21,0.16,0.815384615384615,18,0.0554120540618896
504,10,0.555555555555556,1000,4,"latent_pc",8,7,17,0.32,0.892307692307692,17,0.0541260242462158
504,10,0.555555555555556,1000,4,"tau_score",11,21,14,0.44,0.676923076923077,25,0.0192580223083496
