"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
701,10,0.555555555555556,5000,1,"copc",10,10,10,0.5,0.857142857142857,12,0.136715888977051
701,10,0.555555555555556,5000,1,"latent_pc",13,2,7,0.65,0.971428571428571,7,0.0481090545654297
701,10,0.555555555555556,5000,1,"tau_score",13,13,7,0.65,0.814285714285714,16,0.0132060050964355
701,10,0.555555555555556,5000,1,"copula_score",3,29,17,0.15,0.585714285714286,33,0.0170011520385742
701,10,0.555555555555556,5000,1,"sem_score",9,19,11,0.45,0.728571428571429,25,0.570910930633545
701,10,0.555555555555556,5000,1,"mmhc_sem_01",11,4,9,0.55,0.942857142857143,13,0.21076512336731
701,10,0.555555555555556,5000,1,"mmhc_sem_05",10,7,10,0.5,0.9,13,0.28682279586792
701,10,0.555555555555556,5000,1,"mmhc_sem_01_raw",10,4,10,0.5,0.942857142857143,11,0.211326122283936
701,10,0.555555555555556,5000,1,"mmhc_sem_05_raw",12,4,8,0.6,0.942857142857143,9,0.298188924789429
701,10,0.555555555555556,5000,1,"mmhc_gauss_01",13,2,7,0.65,0.971428571428571,8,0.0541858673095703
701,10,0.555555555555556,5000,1,"mmhc_gauss_05",17,0,3,0.85,1,4,0.0825269222259521
702,10,0.555555555555556,5000,2,"copc",11,8,11,0.5,0.88235294117647,11,0.118402004241943
702,10,0.555555555555556,5000,2,"latent_pc",9,7,13,0.409090909090909,0.897058823529412,15,0.0740199089050293
702,10,0.555555555555556,5000,2,"tau_score",18,11,4,0.818181818181818,0.838235294117647,15,0.0173089504241943
702,10,0.555555555555556,5000,2,"copula_score",10,19,12,0.454545454545455,0.720588235294118,27,0.0182819366455078
702,10,0.555555555555556,5000,2,"sem_score",12,15,10,0.545454545454545,0.779411764705882,19,0.675419092178345
702,10,0.555555555555556,5000,2,"mmhc_sem_01",11,5,11,0.5,0.926470588235294,15,0.240615844726562
702,10,0.555555555555556,5000,2,"mmhc_sem_05",11,6,11,0.5,0.911764705882353,15,0.266395807266235
702,10,0.555555555555556,5000,2,"mmhc_sem_01_raw",10,5,12,0.454545454545455,0.926470588235294,13,0.330264806747437
702,10,0.555555555555556,5000,2,"mmhc_sem_05_raw",11,5,11,0.5,0.926470588235294,12,0.259692192077637
702,10,0.555555555555556,5000,2,"mmhc_gauss_01",11,5,11,0.5,0.926470588235294,13,0.084414005279541
702,10,0.555555555555556,5000,2,"mmhc_gauss_05",10,7,12,0.454545454545455,0.897058823529412,15,0.0966060161590576
703,10,0.555555555555556,5000,3,"copc",6,15,23,0.206896551724138,0.754098360655738,28,0.172481060028076
703,10,0.555555555555556,5000,3,"latent_pc",5,11,24,0.172413793103448,0.819672131147541,25,0.0644569396972656
703,10,0.555555555555556,5000,3,"tau_score",7,33,22,0.241379310344828,0.459016393442623,37,0.0151259899139404
703,10,0.555555555555556,5000,3,"copula_score",2,29,27,0.0689655172413793,0.524590163934426,36,0.0138278007507324
703,10,0.555555555555556,5000,3,"sem_score",12,23,17,0.413793103448276,0.622950819672131,29,0.599918842315674
703,10,0.555555555555556,5000,3,"mmhc_sem_01",7,9,22,0.241379310344828,0.852459016393443,28,0.244886875152588
703,10,0.555555555555556,5000,3,"mmhc_sem_05",8,7,21,0.275862068965517,0.885245901639344,26,0.253478050231934
703,10,0.555555555555556,5000,3,"mmhc_sem_01_raw",7,8,22,0.241379310344828,0.868852459016393,25,0.260055065155029
703,10,0.555555555555556,5000,3,"mmhc_sem_05_raw",7,7,22,0.241379310344828,0.885245901639344,24,0.224270105361938
703,10,0.555555555555556,5000,3,"mmhc_gauss_01",6,10,23,0.206896551724138,0.836065573770492,26,0.0712070465087891
703,10,0.555555555555556,5000,3,"mmhc_gauss_05",5,10,24,0.172413793103448,0.836065573770492,26,0.0716559886932373
704,10,0.555555555555556,5000,4,"copc",6,12,14,0.3,0.828571428571429,17,0.120297908782959
704,10,0.555555555555556,5000,4,"latent_pc",6,8,14,0.3,0.885714285714286,17,0.0451118946075439
704,10,0.555555555555556,5000,4,"tau_score",8,23,12,0.4,0.671428571428571,27,0.0150609016418457
704,10,0.555555555555556,5000,4,"copula_score",9,16,11,0.45,0.771428571428571,24,0.0120890140533447
704,10,0.555555555555556,5000,4,"sem_score",12,13,8,0.6,0.814285714285714,18,0.611423015594482
704,10,0.555555555555556,5000,4,"mmhc_sem_01",7,7,13,0.35,0.9,17,0.201556205749512
704,10,0.555555555555556,5000,4,"mmhc_sem_05",7,10,13,0.35,0.857142857142857,18,0.331943035125732
704,10,0.555555555555556,5000,4,"mmhc_sem_01_raw",4,10,16,0.2,0.857142857142857,21,0.207603931427002
704,10,0.555555555555556,5000,4,"mmhc_sem_05_raw",6,10,14,0.3,0.857142857142857,20,0.288466930389404
704,10,0.555555555555556,5000,4,"mmhc_gauss_01",8,6,12,0.4,0.914285714285714,17,0.0463650226593018
704,10,0.555555555555556,5000,4,"mmhc_gauss_05",5,12,15,0.25,0.828571428571429,21,0.111227989196777
705,10,0.555555555555556,5000,5,"copc",9,10,15,0.375,0.848484848484849,15,0.100378036499023
705,10,0.555555555555556,5000,5,"latent_pc",11,8,13,0.458333333333333,0.878787878787879,14,0.126982927322388
705,10,0.555555555555556,5000,5,"tau_score",12,24,12,0.5,0.636363636363636,28,0.0176749229431152
705,10,0.555555555555556,5000,5,"copula_score",4,20,20,0.166666666666667,0.696969696969697,29,0.0192391872406006
705,10,0.555555555555556,5000,5,"sem_score",14,11,10,0.583333333333333,0.833333333333333,17,0.43261194229126
