"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
1301,30,0.172413793103448,1000,1,"copc",17,42,64,0.209876543209877,0.946768060836502,64,2.22247385978699
1301,30,0.172413793103448,1000,1,"latent_pc",25,31,56,0.308641975308642,0.960709759188847,57,0.877976894378662
1301,30,0.172413793103448,1000,1,"tau_score",44,252,37,0.54320987654321,0.680608365019011,261,0.377832889556885
1301,30,0.172413793103448,1000,1,"copula_score",44,60,37,0.54320987654321,0.923954372623574,83,0.122507095336914
1301,30,0.172413793103448,1000,1,"sem_score",54,59,27,0.666666666666667,0.925221799746515,81,2.08230710029602
1301,30,0.172413793103448,1000,1,"mmhc_sem_01",32,23,49,0.395061728395062,0.97084917617237,61,1.06070184707642
1301,30,0.172413793103448,1000,1,"mmhc_sem_05",32,30,49,0.395061728395062,0.961977186311787,67,1.95066714286804
1301,30,0.172413793103448,1000,1,"mmhc_sem_01_raw",39,14,42,0.481481481481481,0.982256020278834,51,1.0757429599762
1301,30,0.172413793103448,1000,1,"mmhc_sem_05_raw",42,16,39,0.518518518518518,0.979721166032953,52,1.95974802970886
1301,30,0.172413793103448,1000,1,"mmhc_gauss_01",36,20,45,0.444444444444444,0.974651457541191,54,1.02343511581421
1301,30,0.172413793103448,1000,1,"mmhc_gauss_05",34,29,47,0.419753086419753,0.963244613434727,62,1.74805998802185
1302,30,0.172413793103448,1000,2,"copc",18,33,47,0.276923076923077,0.959006211180124,49,0.705221891403198
1302,30,0.172413793103448,1000,2,"latent_pc",26,29,39,0.4,0.963975155279503,54,0.731220006942749
1302,30,0.172413793103448,1000,2,"tau_score",42,242,23,0.646153846153846,0.699378881987578,247,0.340499877929688
1302,30,0.172413793103448,1000,2,"copula_score",35,49,30,0.538461538461538,0.939130434782609,69,0.111793994903564
1302,30,0.172413793103448,1000,2,"sem_score",43,36,22,0.661538461538462,0.95527950310559,51,1.4886519908905
1302,30,0.172413793103448,1000,2,"mmhc_sem_01",26,29,39,0.4,0.963975155279503,53,0.90595817565918
1302,30,0.172413793103448,1000,2,"mmhc_sem_05",29,32,36,0.446153846153846,0.960248447204969,56,1.70340800285339
1302,30,0.172413793103448,1000,2,"mmhc_sem_01_raw",29,17,36,0.446153846153846,0.97888198757764,48,0.897289037704468
1302,30,0.172413793103448,1000,2,"mmhc_sem_05_raw",32,17,33,0.492307692307692,0.97888198757764,47,1.68394494056702
1302,30,0.172413793103448,1000,2,"mmhc_gauss_01",30,25,35,0.461538461538462,0.968944099378882,55,0.777927160263062
1302,30,0.172413793103448,1000,2,"mmhc_gauss_05",36,27,29,0.553846153846154,0.966459627329193,56,1.61043906211853
1303,30,0.172413793103448,1000,3,"copc",11,41,71,0.134146341463415,0.947969543147208,73,0.517982006072998
1303,30,0.172413793103448,1000,3,"latent_pc",35,22,47,0.426829268292683,0.972081218274112,53,0.763642072677612
1303,30,0.172413793103448,1000,3,"tau_score",52,212,30,0.634146341463415,0.730964467005076,218,0.332951068878174
1303,30,0.172413793103448,1000,3,"copula_score",25,67,57,0.304878048780488,0.91497461928934,97,0.122611999511719
1303,30,0.172413793103448,1000,3,"sem_score",34,63,48,0.414634146341463,0.92005076142132,93,1.64307594299316
1303,30,0.172413793103448,1000,3,"mmhc_sem_01",34,22,48,0.414634146341463,0.972081218274112,60,1.02904081344604
1303,30,0.172413793103448,1000,3,"mmhc_sem_05",38,25,44,0.463414634146341,0.968274111675127,60,1.68408703804016
1303,30,0.172413793103448,1000,3,"mmhc_sem_01_raw",35,14,47,0.426829268292683,0.982233502538071,49,1.03183698654175
1303,30,0.172413793103448,1000,3,"mmhc_sem_05_raw",33,17,49,0.402439024390244,0.978426395939086,52,1.82291316986084
1303,30,0.172413793103448,1000,3,"mmhc_gauss_01",38,19,44,0.463414634146341,0.975888324873096,55,0.863607883453369
1303,30,0.172413793103448,1000,3,"mmhc_gauss_05",39,25,43,0.475609756097561,0.968274111675127,58,1.641676902771
1304,30,0.172413793103448,1000,4,"copc",19,34,59,0.243589743589744,0.957070707070707,63,0.622391939163208
1304,30,0.172413793103448,1000,4,"latent_pc",25,33,53,0.320512820512821,0.958333333333333,59,0.88999080657959
1304,30,0.172413793103448,1000,4,"tau_score",26,275,52,0.333333333333333,0.652777777777778,286,0.384107112884521
1304,30,0.172413793103448,1000,4,"copula_score",27,96,51,0.346153846153846,0.878787878787879,120,0.144711971282959
1304,30,0.172413793103448,1000,4,"sem_score",39,55,39,0.5,0.930555555555556,80,1.55169892311096
1304,30,0.172413793103448,1000,4,"mmhc_sem_01",28,26,50,0.358974358974359,0.967171717171717,59,1.03429102897644
1304,30,0.172413793103448,1000,4,"mmhc_sem_05",29,26,49,0.371794871794872,0.967171717171717,58,1.2836229801178
1304,30,0.172413793103448,1000,4,"mmhc_sem_01_raw",35,15,43,0.448717948717949,0.981060606060606,46,1.02678298950195
1304,30,0.172413793103448,1000,4,"mmhc_sem_05_raw",36,15,42,0.461538461538462,0.981060606060606,45,1.27023315429688
1304,30,0.172413793103448,1000,4,"mmhc_gauss_01",37,21,41,0.474358974358974,0.973484848484849,51,0.948745012283325
1304,30,0.172413793103448,1000,4,"mmhc_gauss_05",34,26,44,0.435897435897436,0.967171717171717,52,1.16031789779663
1305,30,0.172413793103448,1000,5,"copc",12,31,46,0.206896551724138,0.961822660098522,45,0.481626987457275
1305,30,0.172413793103448,1000,5,"latent_pc",23,22,35,0.396551724137931,0.972906403940887,46,0.409444808959961
1305,30,0.172413793103448,1000,5,"tau_score",34,172,24,0.586206896551724,0.788177339901478,181,0.264142990112305
1305,30,0.172413793103448,1000,5,"copula_score",18,60,40,0.310344827586207,0.926108374384236,79,0.103851079940796
1305,30,0.172413793103448,1000,5,"sem_score",28,52,30,0.482758620689655,0.935960591133005,69,1.67832612991333
1305,30,0.172413793103448,1000,5,"mmhc_sem_01",24,20,34,0.413793103448276,0.975369458128079,41,0.553056955337524
1305,30,0.172413793103448,1000,5,"mmhc_sem_05",24,27,34,0.413793103448276,0.966748768472906,48,1.34010910987854
1305,30,0.172413793103448,1000,5,"mmhc_sem_01_raw",30,9,28,0.517241379310345,0.988916256157635,32,0.557260036468506
1305,30,0.172413793103448,1000,5,"mmhc_sem_05_raw",26,17,32,0.448275862068966,0.979064039408867,40,1.34864497184753
1305,30,0.172413793103448,1000,5,"mmhc_gauss_01",30,15,28,0.517241379310345,0.981527093596059,37,0.422006845474243
1305,30,0.172413793103448,1000,5,"mmhc_gauss_05",31,24,27,0.53448275862069,0.970443349753695,46,1.18033504486084
1306,30,0.172413793103448,1000,6,"copc",20,35,55,0.266666666666667,0.955974842767296,53,0.727429151535034
