"sim_id","p","s","n","rep","method","TP","FP","FN","SEN","SPE","SHD","runtime_sec"
1,10,0.222222222222222,500,1,"copc",2,5,8,0.2,0.9375,6,0.00657296180725098
1,10,0.222222222222222,500,1,"latent_pc",6,2,4,0.6,0.975,2,0.0109798908233643
1,10,0.222222222222222,500,1,"tau_score",8,4,2,0.8,0.95,6,0.0169179439544678
1,10,0.222222222222222,500,1,"copula_score",5,6,5,0.5,0.925,10,0.00909304618835449
1,10,0.222222222222222,500,1,"sem_score",6,4,4,0.6,0.95,8,0.101473093032837
1,10,0.222222222222222,500,1,"mmhc_sem_01",5,2,5,0.5,0.975,4,0.034883975982666
1,10,0.222222222222222,500,1,"mmhc_sem_05",5,4,5,0.5,0.95,7,0.0429670810699463
1,10,0.222222222222222,500,1,"mmhc_sem_01_raw",6,2,4,0.6,0.975,6,0.0380289554595947
1,10,0.222222222222222,500,1,"mmhc_sem_05_raw",6,3,4,0.6,0.9625,7,0.0401420593261719
1,10,0.222222222222222,500,1,"mmhc_gauss_01",7,1,3,0.7,0.9875,2,0.0142199993133545
1,10,0.222222222222222,500,1,"mmhc_gauss_05",6,4,4,0.6,0.95,3,0.0218789577484131
2,10,0.222222222222222,500,2,"copc",0,9,12,0,0.884615384615385,12,0.00808906555175781
2,10,0.222222222222222,500,2,"latent_pc",6,4,6,0.5,0.948717948717949,6,0.00986814498901367
2,10,0.222222222222222,500,2,"tau_score",9,8,3,0.75,0.897435897435897,10,0.00956201553344727
2,10,0.222222222222222,500,2,"copula_score",4,8,8,0.333333333333333,0.897435897435897,14,0.0156929492950439
2,10,0.222222222222222,500,2,"sem_score",5,8,7,0.416666666666667,0.897435897435897,14,0.108698129653931
2,10,0.222222222222222,500,2,"mmhc_sem_01",6,3,6,0.5,0.961538461538462,7,0.0455849170684814
2,10,0.222222222222222,500,2,"mmhc_sem_05",7,5,5,0.583333333333333,0.935897435897436,9,0.0604360103607178
2,10,0.222222222222222,500,2,"mmhc_sem_01_raw",6,3,6,0.5,0.961538461538462,10,0.0399971008300781
2,10,0.222222222222222,500,2,"mmhc_sem_05_raw",6,5,6,0.5,0.935897435897436,12,0.0618391036987305
2,10,0.222222222222222,500,2,"mmhc_gauss_01",9,1,3,0.75,0.987179487179487,2,0.0135209560394287
2,10,0.222222222222222,500,2,"mmhc_gauss_05",9,3,3,0.75,0.961538461538462,4,0.0342690944671631
3,10,0.222222222222222,500,3,"copc",5,3,5,0.5,0.9625,4,0.0101280212402344
3,10,0.222222222222222,500,3,"latent_pc",2,7,8,0.2,0.9125,10,0.0236711502075195
3,10,0.222222222222222,500,3,"tau_score",5,22,5,0.5,0.725,24,0.0158810615539551
3,10,0.222222222222222,500,3,"copula_score",3,6,7,0.3,0.925,9,0.00795221328735352
3,10,0.222222222222222,500,3,"sem_score",1,9,9,0.1,0.8875,12,0.13735294342041
3,10,0.222222222222222,500,3,"mmhc_sem_01",4,5,6,0.4,0.9375,7,0.0583980083465576
